L_0_x,L_0_y,L_0_z,L_1_x,L_1_y,L_1_z,L_2_x,L_2_y,L_2_z,L_3_x,L_3_y,L_3_z,L_4_x,L_4_y,L_4_z,L_5_x,L_5_y,L_5_z,L_6_x,L_6_y,L_6_z,L_7_x,L_7_y,L_7_z,L_8_x,L_8_y,L_8_z,L_9_x,L_9_y,L_9_z,L_10_x,L_10_y,L_10_z,L_11_x,L_11_y,L_11_z,L_12_x,L_12_y,L_12_z,L_13_x,L_13_y,L_13_z,L_14_x,L_14_y,L_14_z,L_15_x,L_15_y,L_15_z,L_16_x,L_16_y,L_16_z,L_17_x,L_17_y,L_17_z,L_18_x,L_18_y,L_18_z,L_19_x,L_19_y,L_19_z,L_20_x,L_20_y,L_20_z,R_0_x,R_0_y,R_0_z,R_1_x,R_1_y,R_1_z,R_2_x,R_2_y,R_2_z,R_3_x,R_3_y,R_3_z,R_4_x,R_4_y,R_4_z,R_5_x,R_5_y,R_5_z,R_6_x,R_6_y,R_6_z,R_7_x,R_7_y,R_7_z,R_8_x,R_8_y,R_8_z,R_9_x,R_9_y,R_9_z,R_10_x,R_10_y,R_10_z,R_11_x,R_11_y,R_11_z,R_12_x,R_12_y,R_12_z,R_13_x,R_13_y,R_13_z,R_14_x,R_14_y,R_14_z,R_15_x,R_15_y,R_15_z,R_16_x,R_16_y,R_16_z,R_17_x,R_17_y,R_17_z,R_18_x,R_18_y,R_18_z,R_19_x,R_19_y,R_19_z,R_20_x,R_20_y,R_20_z
0.26620766520500183,0.32779765129089355,2.0580949444681806e-10,0.28972554206848145,0.31591519713401794,0.003831204492598772,0.3071906268596649,0.3050922155380249,0.0005889999447390437,0.3220314681529999,0.3012301027774811,-0.004991574212908745,0.33294814825057983,0.30031299591064453,-0.009425587020814419,0.2944994270801544,0.2594972848892212,0.0008270810358226299,0.32109761238098145,0.25208619236946106,-0.005848859436810017,0.3272658884525299,0.27017566561698914,-0.01024649478495121,0.3247634172439575,0.28248313069343567,-0.01212345901876688,0.2928277254104614,0.26417481899261475,-0.005492768250405788,0.3239123225212097,0.2601558566093445,-0.009162466041743755,0.3274342715740204,0.27869802713394165,-0.009754733182489872,0.32303744554519653,0.28911224007606506,-0.009842472150921822,0.29311567544937134,0.27534160017967224,-0.012043683789670467,0.3220062255859375,0.27817973494529724,-0.014382895082235336,0.3244765102863312,0.293996661901474,-0.01191772986203432,0.31992265582084656,0.3031752109527588,-0.009956243447959423,0.29543086886405945,0.2907031774520874,-0.01862751878798008,0.31757068634033203,0.2934951186180115,-0.01742394082248211,0.32108381390571594,0.30515000224113464,-0.013264017179608345,0.31889808177948,0.3131256401538849,-0.010346481576561928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26470986008644104,0.3248894214630127,4.411052856312381e-09,0.28887951374053955,0.31368473172187805,0.003816354088485241,0.3068687915802002,0.3027850389480591,0.0006129209650680423,0.32185089588165283,0.2981834411621094,-0.004868833348155022,0.3335711359977722,0.29899558424949646,-0.009199468418955803,0.29354384541511536,0.25753912329673767,3.817502147285268e-05,0.3207589387893677,0.2501884400844574,-0.006573831662535667,0.3277427554130554,0.2677094042301178,-0.010681458748877048,0.3259933590888977,0.28027328848838806,-0.01243678480386734,0.29201027750968933,0.2622932493686676,-0.00636386638507247,0.32385408878326416,0.2580336630344391,-0.0102565698325634,0.32786351442337036,0.2771713137626648,-0.010545196011662483,0.32395225763320923,0.2881305515766144,-0.010369031690061092,0.29258376359939575,0.27380210161209106,-0.012922336347401142,0.32239729166030884,0.2765587568283081,-0.015608089976012707,0.3249847888946533,0.2927490472793579,-0.012808576226234436,0.3205471932888031,0.3018540143966675,-0.010540390387177467,0.2949841022491455,0.2897939085960388,-0.019474226981401443,0.31790295243263245,0.2923535108566284,-0.018449729308485985,0.32172688841819763,0.3040549159049988,-0.014072003774344921,0.3199295997619629,0.31210899353027344,-0.010983445681631565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2637670040130615,0.32508164644241333,8.006948881700282e-09,0.2868943214416504,0.3130514323711395,0.005396844353526831,0.3054220676422119,0.30236825346946716,0.002774682128801942,0.3216645121574402,0.2991350591182709,-0.002538368571549654,0.33420097827911377,0.2994871735572815,-0.006897707004100084,0.29404568672180176,0.2586607336997986,0.0014444481348618865,0.32137537002563477,0.251524418592453,-0.004980133846402168,0.32912296056747437,0.26740962266921997,-0.008963962085545063,0.3279467821121216,0.2801678776741028,-0.010506103746592999,0.2925780713558197,0.263291597366333,-0.005651877727359533,0.32431143522262573,0.2575249671936035,-0.008925040252506733,0.3294077515602112,0.27574387192726135,-0.008914671838283539,0.32646462321281433,0.2872808575630188,-0.008524598553776741,0.29318082332611084,0.27495694160461426,-0.012810840271413326,0.32244837284088135,0.27454274892807007,-0.014595338143408298,0.3266500234603882,0.29022327065467834,-0.011353749781847,0.3233526945114136,0.3002691864967346,-0.008924145251512527,0.2956083416938782,0.2913070619106293,-0.019884057343006134,0.31782278418540955,0.29133161902427673,-0.018213195726275444,0.32407939434051514,0.3013366758823395,-0.013600504957139492,0.32437267899513245,0.3090800642967224,-0.01034980546683073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26284050941467285,0.32871580123901367,1.4114291957412206e-07,0.28352198004722595,0.3197861909866333,0.0035721345338970423,0.30363887548446655,0.3072360157966614,0.0018924757605418563,0.32067373394966125,0.3041224479675293,-0.001823296188376844,0.33367884159088135,0.3019181787967682,-0.00543675571680069,0.2989737093448639,0.2644449472427368,-0.00024686934193596244,0.3238168954849243,0.25933003425598145,-0.00642901798710227,0.34006768465042114,0.26339879631996155,-0.01129239797592163,0.3510406017303467,0.269381046295166,-0.014387205243110657,0.29671669006347656,0.26758113503456116,-0.0062197120860219,0.32441607117652893,0.26268622279167175,-0.01112321950495243,0.34082940220832825,0.26891064643859863,-0.014227570034563541,0.3514714241027832,0.2763872444629669,-0.01653636246919632,0.2958875596523285,0.27905526757240295,-0.012206890620291233,0.3227314352989197,0.27720314264297485,-0.0175738874822855,0.3382142186164856,0.28500479459762573,-0.01975194923579693,0.347909539937973,0.2930680215358734,-0.021062444895505905,0.2966688275337219,0.29680126905441284,-0.01793539524078369,0.3199734091758728,0.30102282762527466,-0.02136136032640934,0.3320241868495941,0.3080296516418457,-0.021593600511550903,0.34024450182914734,0.31506040692329407,-0.02156979590654373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26216375827789307,0.33356598019599915,1.913284251031655e-07,0.28156179189682007,0.3250633180141449,0.0017526865703985095,0.3037859797477722,0.3160005509853363,-0.00014357797044795007,0.32286399602890015,0.32180625200271606,-0.0037402731832116842,0.33739835023880005,0.3276333212852478,-0.007533790543675423,0.3049432635307312,0.28201615810394287,-0.000497188069857657,0.3280795216560364,0.27029550075531006,-0.005510017741471529,0.3436031639575958,0.2659870386123657,-0.009967518039047718,0.35610231757164,0.26372870802879333,-0.013226435519754887,0.30254247784614563,0.2839949131011963,-0.005841495934873819,0.32588356733322144,0.26911765336990356,-0.009741788730025291,0.3428853452205658,0.26391124725341797,-0.014303253963589668,0.3567657470703125,0.26255905628204346,-0.017979081720113754,0.2998669445514679,0.29390189051628113,-0.011326419189572334,0.32289549708366394,0.28569379448890686,-0.016579778864979744,0.33952364325523376,0.28631579875946045,-0.022143855690956116,0.35140159726142883,0.2890864908695221,-0.026172732934355736,0.29807955026626587,0.3104352355003357,-0.01662560924887657,0.3185170888900757,0.3165285289287567,-0.021061871200799942,0.3305831551551819,0.3231748342514038,-0.02375747822225094,0.33911681175231934,0.3297520875930786,-0.025814993306994438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26706016063690186,0.34197020530700684,1.893137380193366e-07,0.2882139980792999,0.3369576036930084,0.0031309006735682487,0.30928581953048706,0.329826682806015,0.002312732394784689,0.326032429933548,0.33432331681251526,-0.0003117293235845864,0.3390156328678131,0.33881881833076477,-0.002873969729989767,0.311063289642334,0.29268985986709595,0.0002043513668468222,0.33323654532432556,0.2807881534099579,-0.004653937183320522,0.348687082529068,0.2756008803844452,-0.008610869757831097,0.3611783981323242,0.27238136529922485,-0.011359138414263725,0.30762988328933716,0.29273173213005066,-0.005827700719237328,0.33189740777015686,0.27875983715057373,-0.00995441060513258,0.3495643138885498,0.2733551561832428,-0.014361560344696045,0.36371204257011414,0.2713896632194519,-0.017605075612664223,0.30381667613983154,0.30162936449050903,-0.011777834966778755,0.32556453347206116,0.29530197381973267,-0.01724952645599842,0.3415376842021942,0.2936357855796814,-0.022550644353032112,0.3533616065979004,0.2934761345386505,-0.026171082630753517,0.30110064148902893,0.3176998496055603,-0.017436962574720383,0.32075420022010803,0.32614395022392273,-0.021931441500782967,0.3323522210121155,0.33300283551216125,-0.02421828731894493,0.3409707844257355,0.33945828676223755,-0.02580605447292328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26999250054359436,0.3462240397930145,2.0109987985961197e-07,0.2904174327850342,0.34079670906066895,0.0020047256257385015,0.3122938275337219,0.335763156414032,0.00030008319299668074,0.3289516568183899,0.3423975706100464,-0.0030681928619742393,0.34206512570381165,0.34899842739105225,-0.006531667895615101,0.3163297474384308,0.29973021149635315,-0.0016292635118588805,0.3392275273799896,0.28902962803840637,-0.007452675607055426,0.35488247871398926,0.28419700264930725,-0.012086128816008568,0.36784520745277405,0.28147512674331665,-0.01527370698750019,0.31301644444465637,0.30048656463623047,-0.007471194490790367,0.33690130710601807,0.28795182704925537,-0.01248856633901596,0.354353129863739,0.283447265625,-0.017429256811738014,0.3688507378101349,0.28239455819129944,-0.021020259708166122,0.3088909983634949,0.30988067388534546,-0.013277307152748108,0.3305389881134033,0.30423739552497864,-0.01964513771235943,0.3461165726184845,0.30371326208114624,-0.02522733062505722,0.35794755816459656,0.3045288324356079,-0.028916548937559128,0.3052365183830261,0.3264433741569519,-0.018851935863494873,0.3244434893131256,0.3352101147174835,-0.024069439619779587,0.33601266145706177,0.3424585461616516,-0.026583261787891388,0.3448166251182556,0.3489992618560791,-0.028227288275957108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2729150652885437,0.35106661915779114,1.9186821020866773e-07,0.2919635474681854,0.3416393995285034,0.002313455566763878,0.3142702877521515,0.336871862411499,0.0008232235559262335,0.33140042424201965,0.3453029990196228,-0.002356126671656966,0.34508252143859863,0.353160560131073,-0.005590805783867836,0.31908872723579407,0.3061956763267517,-0.0010309901554137468,0.34232985973358154,0.29741162061691284,-0.006361236795783043,0.35789623856544495,0.2929975688457489,-0.010546364821493626,0.3705737292766571,0.29008352756500244,-0.013469958677887917,0.31723591685295105,0.30847325921058655,-0.0068254126235842705,0.34212496876716614,0.29827359318733215,-0.011486055329442024,0.3597351908683777,0.2936460077762604,-0.01625101827085018,0.3739534020423889,0.29157695174217224,-0.019741443917155266,0.31387776136398315,0.31868448853492737,-0.012534817680716515,0.3359854221343994,0.3149782717227936,-0.018234431743621826,0.35124367475509644,0.31468498706817627,-0.023310458287596703,0.36260488629341125,0.31508058309555054,-0.02670510858297348,0.31009000539779663,0.33499276638031006,-0.018018733710050583,0.3282952606678009,0.34394145011901855,-0.022541891783475876,0.3396397531032562,0.35048630833625793,-0.02464706264436245,0.3484860360622406,0.35648664832115173,-0.026051053777337074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2753373384475708,0.3535615801811218,1.8089085074279865e-07,0.2926254868507385,0.3403441309928894,0.0024671994615346193,0.3142745792865753,0.3345012366771698,0.0011322533246129751,0.3308679461479187,0.3411110043525696,-0.0018276807386428118,0.34370431303977966,0.3483859598636627,-0.004807692486792803,0.32061222195625305,0.30969205498695374,-0.0011284354841336608,0.3437092900276184,0.30193984508514404,-0.006684280000627041,0.35952019691467285,0.2977760434150696,-0.01094742026180029,0.3723630905151367,0.29493948817253113,-0.013891864567995071,0.31996938586235046,0.31382066011428833,-0.0069109536707401276,0.3446771502494812,0.3043455183506012,-0.01192533690482378,0.3622555136680603,0.2998761534690857,-0.016698062419891357,0.37661629915237427,0.29730844497680664,-0.0200334582477808,0.31739068031311035,0.32527148723602295,-0.012558442540466785,0.3390193581581116,0.3215465545654297,-0.01838890090584755,0.35399165749549866,0.32103368639945984,-0.0230314452201128,0.3655059337615967,0.32087722420692444,-0.02596467360854149,0.31390923261642456,0.34218817949295044,-0.01796596124768257,0.33084219694137573,0.3500610589981079,-0.02241906151175499,0.34169667959213257,0.35563400387763977,-0.02420848049223423,0.35055476427078247,0.36074817180633545,-0.02525666542351246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27756431698799133,0.35489150881767273,1.8061871287500253e-07,0.29313868284225464,0.336914598941803,0.0031074322760105133,0.31351712346076965,0.3264222741127014,0.0023510733153671026,0.3291357457637787,0.3268846869468689,1.7258000298170373e-05,0.34065690636634827,0.3309662938117981,-0.002438776893541217,0.3207293450832367,0.3115939199924469,-0.002053546952083707,0.34467676281929016,0.3041827082633972,-0.007952069863677025,0.36139604449272156,0.30038556456565857,-0.012092585675418377,0.3745131194591522,0.2980128526687622,-0.014657334424555302,0.32063937187194824,0.31728777289390564,-0.007716722786426544,0.3462299406528473,0.3077133893966675,-0.013072735629975796,0.36390239000320435,0.3027365803718567,-0.01752324402332306,0.3779318928718567,0.299572616815567,-0.02031683176755905,0.3190825879573822,0.3296554684638977,-0.013081301003694534,0.34117192029953003,0.3252768814563751,-0.01895047537982464,0.3561062812805176,0.324659138917923,-0.02324528433382511,0.36739152669906616,0.3245171308517456,-0.025666138157248497,0.31671372056007385,0.34694477915763855,-0.018116144463419914,0.3341626524925232,0.35426583886146545,-0.022369837388396263,0.34485870599746704,0.35957127809524536,-0.02397727034986019,0.3536595106124878,0.3645380735397339,-0.024671407416462898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
